School Code,DfE Number,National Centre Number,DENINO,School Type,School name,Average point score 2014,Z Score 2014,Average point score 2015,Z Score 2015,Average Point score 2016,Z Score 2016,Average Z Score 2014-2016,Above or Below Average,Notes
14091,4230023,71549,4230023,,St Mary's High School                           ,538,-0.760637218,571.73,-0.525157017,517.73,-0.890805626,-0.725533287,Below Average,
14092,4420088,71550,4420088,,St Patrick's Grammar School                     ,654.3211009,-0.166071158,650.84,-0.091118911,705.32,0.245092462,-0.004032536,Below Average,
14096,4420044,71564,4420044,,Sullivan Upper School                           ,850.8401361,0.838420267,814.37,0.80609069,836.28,1.038083633,0.894198197,Above Average,
14097,5420045,71737,5420045,,St Louis Grammar School                         ,883.3493976,1.004588773,790.33,0.674194899,906.9,1.465703031,1.048162234,Above Average,
14100,5210186,71745,5210186,,Newry High School                               ,554.6071429,-0.675751128,628.92,-0.211383293,533.23,-0.796949768,-0.561361396,Below Average,
14101,5210016,71725,5210016,,Kilkeel High School                             ,735.7894737,0.250347952,685.52,0.099153388,663.38,-0.008863323,0.113546006,Above Average,
14103,5420060,71753,5420060,,Our Lady's Grammar School                       ,887.2627119,1.024591367,859.96,1.056220854,888.94,1.356951341,1.145921187,Above Average,
14105,5420062,71757,5420062,,St Colman's College                             ,825.2413793,0.707574257,834.14,0.914559068,810.05,0.8792553,0.833796208,Above Average,
14107,4410063,71592,4410063,,Regent House School                             ,955.4558011,1.373154922,942.23,1.507596344,931.72,1.615993508,1.498914925,Above Average,
14108,2420041,71919,2420041,,Mount Lourdes Grammar School                    ,882.2132353,0.998781369,827.79,0.879719706,891.75,1.373966499,1.084155858,Above Average,
14111,2420043,71940,2420043,,St Michael's College                            ,629.8105263,-0.291355012,632.68,-0.190754001,645,-0.120158205,-0.200755739,Below Average,
14115,3420034,71347,3420034,,Loreto College                                  ,767.9042553,0.414500106,708.77,0.226714833,746.28,0.493114136,0.378109692,Above Average,
